y,time,series,cond,sub,x
7.005557593642877,0,series_0,a,sub_0,9.817736405082838
11.122316432493385,20,series_0,a,sub_0,10.26237118670953
4.766720457177568,40,series_0,a,sub_0,10.445886658170618
2.952045509475022,60,series_0,a,sub_0,8.481553763153368
7.463034172514712,80,series_0,a,sub_0,10.180659762593836
7.770083595914613,100,series_0,a,sub_0,10.77102471738297
7.4366766392381,120,series_0,a,sub_0,9.27490580451018
7.917180731769843,140,series_0,a,sub_0,10.6838199985734
10.248636978640912,160,series_0,a,sub_0,9.7576436543814
,180,series_0,a,sub_0,8.459041572792362
2.60912092113778,200,series_0,a,sub_0,9.80782525515798
5.100486479750565,220,series_0,a,sub_0,10.066568415531089
6.690768496245543,240,series_0,a,sub_0,11.674331348102427
3.254695154161501,260,series_0,a,sub_0,9.834409225807388
4.7283141163783,280,series_0,a,sub_0,10.037711863873357
7.397372019497897,300,series_0,a,sub_0,10.2903990366635
3.010369442265471,320,series_0,a,sub_0,10.0155003719991
4.241633230828585,340,series_0,a,sub_0,9.721332091601884
5.6916293389208175,360,series_0,a,sub_0,10.841105709773723
,380,series_0,a,sub_0,10.659523563440986
4.433607827664259,400,series_0,a,sub_0,9.362754985658176
5.889133654803189,420,series_0,a,sub_0,11.209809940544297
6.970402131544981,440,series_0,a,sub_0,9.662440653173014
4.015701275552467,460,series_0,a,sub_0,7.244559489333493
7.418972416712046,480,series_0,a,sub_0,9.609961574424975
5.153166915638295,500,series_0,a,sub_0,10.170592235913269
7.371865651740095,520,series_0,a,sub_0,9.99819653065876
14.59443535023525,540,series_0,a,sub_0,9.1033790387436
15.438951694956629,560,series_0,a,sub_0,10.120190093436264
,580,series_0,a,sub_0,9.14048801243412
,600,series_0,a,sub_0,10.023840358000353
21.99312772300056,620,series_0,a,sub_0,10.260666484380293
20.486177598731867,640,series_0,a,sub_0,8.904288560493693
22.77138903868818,660,series_0,a,sub_0,9.66559549971398
31.2357839646994,680,series_0,a,sub_0,9.313827014706478
33.549126974173404,700,series_0,a,sub_0,9.389699686980531
31.891541550559207,720,series_0,a,sub_0,7.985205093185586
38.67023382803609,740,series_0,a,sub_0,11.40329330502361
36.486269344362526,760,series_0,a,sub_0,11.049176680082375
,780,series_0,a,sub_0,10.075805734971848
38.005307779295805,800,series_0,a,sub_0,8.757677216754521
38.56605665081857,820,series_0,a,sub_0,8.371838361737627
43.60622038036957,840,series_0,a,sub_0,9.67770240480976
47.850100402254505,860,series_0,a,sub_0,11.020233842217474
47.1374038254794,880,series_0,a,sub_0,9.506160579060747
47.36231676946737,900,series_0,a,sub_0,8.874767612356116
47.24523726567557,920,series_0,a,sub_0,9.990771143422323
48.30664452797967,940,series_0,a,sub_0,10.527299996483512
51.21834862959129,960,series_0,a,sub_0,12.028093446890166
48.521548117292994,980,series_0,a,sub_0,11.705999559123212
40.47737748641532,1000,series_0,a,sub_0,10.421454908889388
42.152619358244266,1020,series_0,a,sub_0,10.922713997688774
39.58490214393152,1040,series_0,a,sub_0,10.095543726835546
41.47533856204383,1060,series_0,a,sub_0,10.061082662725669
38.79131320274529,1080,series_0,a,sub_0,9.967732390812488
34.6484306013482,1100,series_0,a,sub_0,10.65951370574855
36.01987755959746,1120,series_0,a,sub_0,11.128700879789289
36.94337567372666,1140,series_0,a,sub_0,11.465215047867268
31.328586224953995,1160,series_0,a,sub_0,11.628137713471297
26.281487931087756,1180,series_0,a,sub_0,8.251069349780407
25.78691388080452,1200,series_0,a,sub_0,10.772432390166896
26.713764991334514,1220,series_0,a,sub_0,10.579080445064236
26.33576199480647,1240,series_0,a,sub_0,10.233899879208485
24.390338199990136,1260,series_0,a,sub_0,10.090743093474392
19.567305257307908,1280,series_0,a,sub_0,10.821130172364697
24.05666885811928,1300,series_0,a,sub_0,10.832754709055354
26.458224895064312,1320,series_0,a,sub_0,9.372352473033642
26.31769289205687,1340,series_0,a,sub_0,9.439128944124692
21.056963142025776,1360,series_0,a,sub_0,9.60655855843088
,1380,series_0,a,sub_0,10.402306761762054
23.79118837509442,1400,series_0,a,sub_0,9.059197281951835
26.97570419392361,1420,series_0,a,sub_0,9.49244079910279
25.420795116732968,1440,series_0,a,sub_0,9.758342031548
27.384048545250945,1460,series_0,a,sub_0,10.02642197540042
25.93500732028424,1480,series_0,a,sub_0,9.54291726966694
