y,time,series,cond,sub,x
6.166943866987172,0,series_6,b,sub_6,9.93461689992731
27.308857665902487,20,series_6,b,sub_6,10.77589605726822
27.26511390460512,40,series_6,b,sub_6,11.69017827459658
28.73757883124943,60,series_6,b,sub_6,11.01156467573214
29.286579990187,80,series_6,b,sub_6,11.932848101239529
24.934908629672183,100,series_6,b,sub_6,9.472597937424482
24.02645459925381,120,series_6,b,sub_6,9.630620281791945
18.85650713596992,140,series_6,b,sub_6,9.345704357401829
19.27494082865732,160,series_6,b,sub_6,9.134213497151013
,180,series_6,b,sub_6,9.102445949634763
17.08053494841179,200,series_6,b,sub_6,9.854586231071718
18.2067041424388,220,series_6,b,sub_6,11.817515484882067
17.56746611126316,240,series_6,b,sub_6,10.019364155760352
10.796110552884397,260,series_6,b,sub_6,9.76471385433801
12.298669454871844,280,series_6,b,sub_6,9.677213758141123
17.10736281594925,300,series_6,b,sub_6,9.643158448278983
19.601768008503164,320,series_6,b,sub_6,10.726514001335037
18.241085741115494,340,series_6,b,sub_6,10.554436538177493
19.33165025768686,360,series_6,b,sub_6,9.589567007621705
19.66974812551596,380,series_6,b,sub_6,11.034344985277444
21.74591037262085,400,series_6,b,sub_6,10.855924249381626
48.72283577079429,420,series_6,b,sub_6,11.333521190685609
41.98889669089866,440,series_6,b,sub_6,11.382108431474242
49.7590840027585,460,series_6,b,sub_6,10.70313049290828
45.516790077405375,480,series_6,b,sub_6,10.596826818356003
44.4833389629003,500,series_6,b,sub_6,8.793871713926901
50.65469817658253,520,series_6,b,sub_6,9.701585600471748
48.46672500709556,540,series_6,b,sub_6,9.848923329229592
55.06867198228004,560,series_6,b,sub_6,9.686490953809194
56.355179080651936,580,series_6,b,sub_6,11.348754112633328
52.306731643109146,600,series_6,b,sub_6,10.229719438922034
63.05069433677722,620,series_6,b,sub_6,11.645974128414831
61.401356268025424,640,series_6,b,sub_6,11.20926812091309
59.01903082008906,660,series_6,b,sub_6,9.54733579771998
64.9507794641441,680,series_6,b,sub_6,10.122732051020463
59.40976247939224,700,series_6,b,sub_6,9.456443804521973
,720,series_6,b,sub_6,9.570856876962676
72.21773642537212,740,series_6,b,sub_6,10.199601698573288
65.35999499747221,760,series_6,b,sub_6,10.003560389907555
64.93799170357438,780,series_6,b,sub_6,9.60641930507215
70.59117337665957,800,series_6,b,sub_6,9.482804904543958
,820,series_6,b,sub_6,9.173686255290052
74.717221764391,840,series_6,b,sub_6,10.392421887010428
