y,time,series,cond,sub,true_states
-7.72104701398138,0,0,a,0,0
-4.2712403475709095,20,0,a,0,0
-10.90210953007836,40,0,a,0,1
-9.77028513525503,60,0,a,0,1
-7.807955471376042,80,0,a,0,1
-8.38645348015984,100,0,a,0,1
-6.47568206752717,120,0,a,0,2
-8.108549266090261,140,0,a,0,2
-4.387828502931187,160,0,a,0,2
,180,0,a,0,2
-12.102616961599193,200,0,a,0,2
-9.99936614354607,220,0,a,0,2
-10.820728525908098,240,0,a,0,2
-11.49691868454958,260,0,a,0,2
-10.328253679431732,280,0,a,0,2
-8.038226535497351,300,0,a,0,3
-12.01288111573318,320,0,a,0,3
-10.34036490657424,340,0,a,0,3
-10.570029225739768,360,0,a,0,3
,380,0,a,0,3
-9.610524650823004,400,0,a,0,3
-10.925581256013256,420,0,a,0,3
-7.523258848214541,440,0,a,0,3
-6.851137958447773,460,0,a,0,3
-6.9959699449254185,480,0,a,0,3
-10.102721438231605,500,0,a,0,3
-7.625429144248044,520,0,a,0,3
0.9393667921198504,540,0,a,0,3
0.2586665548022315,560,0,a,0,3
,580,0,a,0,3
,600,0,a,0,3
6.602127996430121,620,0,a,0,3
7.129744757991328,640,0,a,0,3
8.27299578911721,660,0,a,0,3
17.26504344263968,680,0,a,0,3
19.46457744370261,700,0,a,0,3
19.913733910780827,720,0,a,0,3
21.565293870500675,740,0,a,0,4
19.912504324238963,760,0,a,0,-1
,780,0,a,0,-1
24.868791954164024,800,0,a,0,-1
26.008299108212128,820,0,a,0,-1
29.089666773154924,840,0,a,0,-1
31.319749638928293,860,0,a,0,-1
32.878162956888275,880,0,a,0,-1
34.0501653509332,900,0,a,0,-1
32.25908055054208,920,0,a,0,-1
32.515694533254404,940,0,a,0,-1
33.17620845925604,960,0,a,0,-1
30.96254877860818,980,0,a,0,-1
24.84519512308124,1000,0,a,0,-1
25.768548361711105,1020,0,a,0,-1
24.4415865536782,1040,0,a,0,-1
26.38371456795533,1060,0,a,0,-1
23.83971461652656,1080,0,a,0,-1
18.65916004272537,1100,0,a,0,-1
19.32682623991353,1120,0,a,0,-1
19.74555310192576,1140,0,a,0,-1
13.88637965474705,1160,0,a,0,-1
13.904883906417144,1180,0,a,0,-1
9.62826529555418,1200,0,a,0,-1
10.84514432373816,1220,0,a,0,-1
10.984912175993747,1240,0,a,0,-1
9.254223559778548,1260,0,a,0,-1
3.3356099987608667,1280,0,a,0,-1
7.807536794536248,1300,0,a,0,-1
12.399696185513848,1320,0,a,0,-1
12.158999475869829,1340,0,a,0,-1
6.647125304379455,1360,0,a,0,-1
,1380,0,a,0,-1
10.202392452166665,1400,0,a,0,-1
12.737042995269428,1420,0,a,0,-1
10.783282069410966,1440,0,a,0,-1
12.344415582150315,1460,0,a,0,-1
11.62063141578383,1480,0,a,0,-1
18.069729673408503,1500,0,a,0,-1
22.275702552157146,1520,0,a,0,-1
17.546280254988233,1540,0,a,0,-1
17.530759810675068,1560,0,a,0,-1
,1580,0,a,0,-1
28.310717718268187,1600,0,a,0,-1
22.339243208417685,1620,0,a,0,-1
28.219984067052337,1640,0,a,0,-1
31.078058948853048,1660,0,a,0,-1
29.266077913228838,1680,0,a,0,-1
27.99615376461138,1700,0,a,0,-1
30.02830437237074,1720,0,a,0,-1
23.33968514140237,1740,0,a,0,-1
21.24659348537629,1760,0,a,0,-1
23.988431192972303,1780,0,a,0,-1
26.041165774397577,1800,0,a,0,-1
16.81368535105137,1820,0,a,0,-1
17.422692680754018,1840,0,a,0,-1
17.49239149880123,1860,0,a,0,-1
17.651976115378265,1880,0,a,0,-1
13.907527517178549,1900,0,a,0,-1
14.01074607955399,1920,0,a,0,-1
,1940,0,a,0,-1
6.734060032274482,1960,0,a,0,-1
5.111190389750601,1980,0,a,0,-1
6.610407520856275,2000,0,a,0,-1
-1.1530679331056597,2020,0,a,0,-1
-1.1566800600004674,2040,0,a,0,-1
-4.7549885404612935,2060,0,a,0,-1
-7.957793673107356,2080,0,a,0,-1
