y,x,z,series,time,true_states,cond
480.5375866457129,48,153,0,0,1,a
360.96488241139565,65,131,0,1,1,a
400.7283705909076,32,173,0,2,1,a
246.3644620548567,11,197,0,3,1,a
575.333571861941,95,172,0,4,1,a
405.8181368802735,68,160,0,5,1,a
407.2292812929635,66,163,0,6,1,a
493.0045132833998,56,139,0,7,1,a
183.3288057848543,73,186,0,8,1,a
-256.2083063781235,32,165,0,9,2,a
8.55810797786225,90,163,0,10,2,a
-1541.423647218824,0,193,0,11,2,a
-1179.8473276053958,57,197,0,12,2,a
-1029.7232921460675,15,187,0,13,2,a
363.6040889123734,57,126,0,14,2,a
-27.72222400036342,16,141,0,15,2,a
-820.8721719424535,38,177,0,16,2,a
452.813567429738,54,117,0,17,2,a
-868.4975424302602,96,183,0,18,2,a
-226.77198973695496,94,155,0,19,2,a
-133.25052857601307,7,147,0,20,2,a
-139.6482507501246,17,142,0,21,2,a
33.48706714783066,76,120,0,22,2,a
-450.17017854602227,30,161,0,23,2,a
-366.2513854203428,73,171,0,24,2,a
-762.26203026732,21,175,0,25,2,a
-226.87744198987954,50,156,0,26,2,a
-1138.9317199651691,43,182,0,27,2,a
-363.7914552709274,31,168,0,28,2,a
380.46207458395173,72,103,0,29,2,a
-1059.6402978711437,87,197,0,30,2,a
-5.414003520162819,11,131,0,31,2,a
432.04593866282255,95,134,0,32,2,a
767.1882826497795,83,127,0,33,1,a
237.75392286639763,77,170,0,34,1,a
553.0199001871969,4,184,0,35,1,a
-219.10456590371976,59,153,0,36,2,a
-870.5129754254664,87,195,0,37,2,a
272.9219976452647,53,133,0,38,2,a
-291.2524909885045,34,143,0,39,2,a
-673.3228486339956,31,174,0,40,2,a
447.70488975240596,87,121,0,41,2,a
228.33035135273178,27,117,0,42,2,a
164.1777831191589,18,113,0,43,2,a
385.2452316700506,14,112,0,44,2,a
100.96289152392143,46,122,0,45,2,a
-115.5015820171106,4,138,0,46,2,a
-933.6109963836552,44,188,0,47,2,a
-780.7546386985961,26,181,0,48,2,a
352.330421346007,78,119,0,49,2,a
461.5986997785227,41,114,0,50,2,a
-600.3563762008287,67,166,0,51,2,a
-636.3163917323214,69,174,0,52,2,a
412.51875799889973,88,116,0,53,2,a
-556.9632566444506,55,175,0,54,2,a
-18.446327008489575,71,149,0,55,2,a
264.33299733767683,13,118,0,56,2,a
-1436.5100547931777,5,196,0,57,2,a
-1166.7727559671325,50,184,0,58,2,a
2254.1732078462073,37,177,0,59,0,a
1329.2048832605387,21,120,0,60,0,a
1729.4958042863332,77,170,0,61,0,a
1582.2967332792316,90,122,0,62,0,a
1457.2451308749753,57,109,0,63,0,a
2579.4373171877764,46,189,0,64,0,a
-1229.5389089072964,15,188,0,65,2,a
-750.7694600860445,82,184,0,66,2,a
